feature,score
420X89,0.00010160726625
360X401,0.000102267753333
340X75,0.000103360612
750X223,0.0001034275575
520X285,0.00010387134
330X489,0.000104112804545
360X1366,0.000104256821111
312X253,0.000104287385
520X233,0.000104385245
330X63,0.000104882438889
420X140,0.000106109
360X1202,0.000106321653333
360X428,0.000106490566667
210X202,0.000106836618333
750X861,0.000107121
210X203,0.0001075505
360X991,0.0001088686525
220X178,0.000109110806667
210X57,0.000109192281111
400X201,0.000109795975714
750X381,0.000110467294444
340X132,0.00011102368
360X683,0.000111036
520X41,0.00011104315
750X1164,0.00011224524
312X291,0.0001126345825
750X560,0.000112924
312X421,0.000113813910833
360X891,0.000114405
312X583,0.000114486193571
520X321,0.00011485395
400X198,0.000114984222222
210X3,0.000116419502254
312X596,0.000116495575556
330X1249,0.00011688605
400X114,0.00011714121
220X66,0.000117368172
360X617,0.000118147
360X525,0.000118609
344X124,0.00011935415375
312X465,0.000119751371818
312X153,0.000120426
330X426,0.000120720325
210X19,0.000121477371429
360X1294,0.000121784436667
312X375,0.00012231191875
520X187,0.000123013
210X67,0.00012305008875
520X180,0.0001235873625
210X97,0.000124613310189
210X25,0.000125145150571
420X199,0.000125589816538
344X62,0.00012596739
311X103,0.000125969955
312X603,0.000126129446667
750X307,0.000126185740909
360X706,0.000126715
330X888,0.00012683897
330X438,0.000128360750769
210X73,0.000128630568
330X1085,0.0001296
360X577,0.000129955
312X639,0.00012999035
210X76,0.000130751901667
312X87,0.000130764198571
210X4,0.000132123503026
210X68,0.0001331707575
750X603,0.00013422
330X479,0.000134619466667
360X480,0.000135046
312X27,0.00013589788
400X23,0.000136143323
360X6,0.00013623133
360X997,0.000136240731111
360X539,0.000136344
750X470,0.000136368
330X813,0.00013672705
750X619,0.0001369144
750X161,0.00013796252
360X609,0.000138630785
330X91,0.000138749688333
344X105,0.000139264765
520X50,0.000139281566667
210X59,0.00013972526625
340X77,0.000140386529167
360X1142,0.000141235
312X120,0.000141808704697
210X10,0.000141821404615
520X71,0.000142399402
330X1030,0.00014263845
312X198,0.000142721393333
311X80,0.000143340015455
360X483,0.000143367
360X600,0.000145386033333
340X105,0.00014543686
340X53,0.000145438733333
330X783,0.000146131
330X759,0.000146196259
420X114,0.00014735285
360X467,0.000147468396667
312X2,0.000147861292857
210X27,0.000148047959929
750X255,0.00014806065
311X109,0.000148542723125
312X173,0.000149016278
360X282,0.0001501343
312X307,0.0001509662625
750X414,0.000151002537097
360X396,0.00015101843
750X66,0.0001511231
344X94,0.0001516366025
312X79,0.00015191356
210X9,0.000152001684975
310X180,0.000152081242759
520X107,0.000153134993
312X73,0.000153149648
750X190,0.000155101818
520X290,0.000155257666667
750X396,0.000155345
312X382,0.00015650226
330X160,0.000158248351333
344X115,0.000158810274
311X31,0.000158983544444
360X631,0.00016184107125
360X1084,0.000162385045294
360X341,0.00016333962
210X14,0.000164113022343
330X729,0.000164918
330X21,0.00016539701697
360X1341,0.00016671002375
210X32,0.000167351855506
210X15,0.000167631312465
330X991,0.000167951464
210X29,0.00016810174125
360X15,0.00016863795
210X23,0.000169139789255
750X773,0.000169332390833
340X1,0.00016998957875
520X141,0.000170129865
ERROR:#N/A_1,0.000170814265114
330X913,0.0001719315
750X417,0.00017414784
210X20,0.000174429162008
750X458,0.000174438433333
344X64,0.00017522995
360X829,0.00017638128
210X5,0.00017749158906
750X173,0.0001775484
520X166,0.000177761086154
220X176,0.000178316827368
750X1281,0.00017877293
750X275,0.0001792015
330X96,0.000179203285455
312X3,0.000180125105
312X638,0.000180470151429
360X242,0.000180927320909
312X17,0.000181089106667
750X546,0.000183296275
210X53,0.000183385888571
360X310,0.000183620511
400X59,0.000184238683333
330X449,0.000185084356667
520X417,0.000185434
400X73,0.000186245653333
360X216,0.00018669311
210X65,0.000186704882597
440AX17,0.000186832467727
520X396,0.00018778186
750X1299,0.000188181218571
330X761,0.000189041
360X458,0.000189705766667
330X816,0.000190494176667
312X383,0.000191303133333
400X136,0.00019162797
750X1364,0.0001916328675
330X114,0.00019178651551
750X1313,0.000192192843333
520X12,0.000192272558
344X88,0.0001922954925
330X186,0.000192338761333
360X503,0.000192618
750X395,0.000192797526667
360X17,0.000193546295
340X101,0.000194350824
330X1,0.000194634231481
750X362,0.00019488937125
520X102,0.000195380898182
520X31,0.000195871120769
210X80,0.000196362019167
420X159,0.000196362486
330X205,0.000197015061111
400X5,0.000198425373077
360X675,0.000199953
330X71,0.000200696437568
330X396,0.000201216432
210X42,0.000201377336667
311X82,0.000201403047692
420X212,0.00020147707625
750X202,0.000201561
360X100,0.000201905215
360X1278,0.00020279682
312X773,0.000203334973
360X1020,0.00020537265
312X285,0.00020544428875
330X64,0.00020620751
312X464,0.000208955666364
400X199,0.000209304770538
420X69,0.000210575319286
311X143,0.000211201961667
420X116,0.000211274852143
750X513,0.00021205122
400X160,0.0002127831875
520X90,0.0002128038525
360X333,0.000212949856667
210X26,0.000213333410072
750X598,0.000213508728
400X75,0.0002139112375
312X125,0.000214285416984
360X388,0.000214684
330X328,0.000215294032308
360X56,0.000216811
360X598,0.000217684825556
750X1297,0.000218301178182
210X33,0.00021844215988
520X427,0.00022053352
330X788,0.00022126851875
310X175,0.000221659097556
ERROR:#N/A_24,0.00022175218
750X500,0.000223590598889
750X260,0.000223931
360X237,0.00022469
440AX123,0.000225036535373
344X66,0.000225138
520X308,0.00022559083
312X43,0.000226755
330X948,0.00022689589
312X114,0.000227512306154
330X303,0.000228029665455
330X480,0.000228556
340X149,0.000229549903
400X197,0.00022997349375
344X65,0.000230228890714
440AX163,0.0002316483205
750X393,0.000232447269091
ERROR:#N/A_1 (#2),0.000232911535
520X167,0.000233379016667
330X1185,0.000234637
330X222,0.000235266525
440AX203,0.000235452297333
360X1281,0.00023556982
360X1315,0.00023591845
520X72,0.00023651272
312X574,0.000236856845
440AX45,0.00023749083527
750X201,0.000238836
360X774,0.00023893050625
311X51,0.000239310458
750X673,0.0002400491825
344X97,0.000240055093
520X312,0.00024150868625
750X9,0.0002416
330X871,0.000241788
400X140,0.0002420125
312X235,0.000242515888
330X276,0.000242742867778
750X407,0.00024275345
330X27,0.000243275
520X240,0.000243409872449
330X961,0.000244308133333
400X81,0.0002448484172
330X931,0.000245804244545
312X71,0.000246145717872
312X591,0.000246598263333
210X113,0.000247913044323
360X481,0.00024854245
520X332,0.000249396795556
520X123,0.000249611542
360X1064,0.000251697845
440AX114,0.00025171667
520X62,0.000251751986875
312X483,0.000253582514286
311X188,0.000253833278571
750X687,0.00025516685
750X1271,0.000255498
330X459,0.00025584867125
344X112,0.00025605014
340X195,0.0002560700055
312X669,0.000256910942424
360X1393,0.000258597214286
312X358,0.000258859156667
344X252,0.00025960425
330X724,0.00025979531
330X41,0.000260256303333
312X766,0.000261078870833
310X178,0.000261528499677
330X146,0.000262089558095
310X172,0.000262604973571
220X192,0.000264378893636
750X321,0.000264547
400X193,0.000264917056786
750X215,0.00026523695
360X546,0.000266988173333
312X70,0.000267203334324
210X226,0.00026758503275
400X117,0.0002721604975
330X209,0.000272743880909
210X105,0.000273039733571
330X509,0.000273703345
310X181,0.000274644432553
520X323,0.000274948637143
520X261,0.000275025668065
360X215,0.0002760107125
330X796,0.000276024145
440AX183,0.000276397598929
360X1323,0.000277019441364
310X173,0.000277805779545
360X222,0.000277897216667
330X382,0.0002782946
311X16,0.000279026378636
312X100,0.0002793948
520X202,0.000280333652
330X342,0.000280502764375
312X427,0.000281773871667
750X1028,0.000282885311111
330X118,0.000284156887407
330X341,0.000284730418462
360X163,0.0002849521
360X453,0.000284972503333
750X1278,0.000285387898947
312X94,0.000286319
312X331,0.0002884310145
330X860,0.0002888979525
330X252,0.000289506499375
312X597,0.00029047132625
520X390,0.000290480194783
400X214,0.000291191682
312X598,0.000291213438889
344X55,0.0002916595
312X84,0.000292669064545
330X951,0.0002928771
330X891,0.000293275
210X152,0.000293765552037
340X151,0.000294538390811
210X93,0.000294740618889
311X17,0.000295137232
330X483,0.000295529535833
312X257,0.000295928173333
420X1,0.000296190211
312X462,0.000297716745806
750X406,0.00029867925
750X886,0.00029883395375
340X5,0.000300536
520X110,0.000301329025
360X168,0.000301778169167
750X445,0.000303815845455
360X137,0.00030411671
360X533,0.00030482811
330X156,0.000305059776842
520X408,0.000305475962708
312X121,0.000305643865349
440AX186,0.000306241796667
312X83,0.000307125388148
330X906,0.000307701266667
330X1105,0.000308736
312X37,0.000308802
420X139,0.000308860676429
312X144,0.000310012040769
360X896,0.00031032651
520X47,0.00031056397697
330X1201,0.0003106629625
312X438,0.000311762946333
330X840,0.0003120095
360X779,0.00031415
330X927,0.000314283595556
360X763,0.000314738945979
360X687,0.000315950368302
360X356,0.000317099186667
330X402,0.00031782877
360X58,0.00031961221875
750X209,0.000319973875
312X760,0.000320127258636
360X340,0.000320873925
420X66,0.000321389173846
750X679,0.0003227485925
210X16,0.000322937714149
210X125,0.000322971670833
210X40,0.00032408568936
210X116,0.000324680055
311X15,0.0003248249328
750X387,0.000325478
312X463,0.000325885874737
330X153,0.000325910877647
312X774,0.000326194103529
330X268,0.000326858625789
330X1041,0.00032687968
360X12,0.000327709375
420X198,0.000328009487727
520X242,0.000328232722
340X197,0.000330848666471
330X495,0.000331792662812
ERROR:#N/A (#3),0.000332450035
312X444,0.000333161145
750X576,0.000333545388
360X99,0.000334589038333
340X2,0.000335078432
400X86,0.000336466030769
210X218,0.000337593987
360X373,0.0003377436
440AX25,0.00033850963625
330X123,0.000338974044706
360X741,0.00034045462069
750X882,0.00034075
520X65,0.00034123866
312X352,0.000342285476667
440AX167,0.000342362502727
312X481,0.000342368926667
330X843,0.000342704
344X13,0.000342868
750X153,0.000342987361
360X159,0.000344191360385
520X75,0.000345091614444
312X519,0.000345263499167
750X34,0.000345626976379
420X3,0.000345811
520X262,0.000347885166182
220X190,0.000348131307656
210X30,0.000348755139091
750X354,0.000348978
520X287,0.00034901825875
220X187,0.000349377423889
330X313,0.0003514441595
360X22,0.000352086945
330X530,0.00035258475375
330X499,0.000354146141429
420X201,0.000355993872558
420X68,0.000356812339286
312X52,0.000357402465072
420X134,0.000357856673333
520X16,0.000358164476333
312X332,0.000359031404118
330X552,0.000359684903333
344X195,0.000360152713043
420X156,0.000361551015
340X39,0.0003615737
210X99,0.000363991367857
311X113,0.000364330886364
360X66,0.00036464
340X187,0.000364943265921
330X312,0.00036516086
210X230,0.000365676261452
360X14,0.000366363444286
520X386,0.000366398702857
220X29,0.000366509160203
312X601,0.000366552543636
750X133,0.000367516902754
750X530,0.000368778495
750X491,0.000371827502857
311X116,0.000373314494
360X576,0.000373951666667
310X171,0.000374436401
360X1307,0.000375863615714
440AX27,0.000377394357097
440AX172,0.000377756485263
344X122,0.000378132611111
520X245,0.000378642717619
330X282,0.00037928359625
420X118,0.000379404005833
210X165,0.000379699871107
344X178,0.000379870294615
330X1192,0.00038024
420X38,0.000380373
360X234,0.000380491
520X37,0.000380785382857
750X162,0.00038090885
312X262,0.00038117157
750X750,0.00038207
344X126,0.00038250658
520X241,0.000383050397667
360X455,0.000385407449091
360X55,0.000385666411111
312X471,0.000387355575714
312X555,0.000388691039216
400X108,0.0003894669975
310X159,0.00038979507
312X244,0.000389988766667
344X192,0.000391480451129
360X649,0.000392628443333
340X43,0.0003932115
344X168,0.000395330176
312X523,0.000398040033333
520X223,0.000399774616667
344X113,0.00039992875
210X72,0.000400294822917
360X89,0.000400949915556
520X387,0.000404768568696
220X184,0.000405702335161
360X1116,0.000406187466
312X169,0.000406210609286
330X820,0.00040637
420X50,0.0004068035
440AX88,0.000407161741
312X339,0.0004078893984
440AX111,0.000408622822095
340X194,0.000409282561818
311X199,0.000410485499649
360X709,0.000411465948
360X593,0.000415973225
420X117,0.0004167565075
330X130,0.000416825946053
400X13,0.000416900788182
440AX33,0.00041745769907
210X61,0.00041798291371
220X4,0.000418188338671
400X72,0.000418191031667
750X359,0.000419046465366
312X585,0.00042028449
210X114,0.0004205317732
400X215,0.000420683758
344X241,0.000421557662564
220X112,0.00042183131134
420X87,0.000422341805714
210X138,0.00042261691
400X33,0.000422876771129
520X320,0.000423018343333
750X222,0.000424780666667
330X255,0.000424859111538
360X376,0.0004260836
312X440,0.000428583729091
330X1000,0.0004294323
330X125,0.000429465148537
360X363,0.00043019621
440AX169,0.000431049895
210X98,0.00043166435625
440AX211,0.000431855635
750X428,0.000431989766
311X127,0.000432273152857
210X155,0.00043453053369
420X70,0.000434623526
750X529,0.00043495325
210X34,0.0004376529208
344X255,0.000437673035833
360X153,0.000437704108889
300X8,0.000438830648237
310X43,0.000439205213784
400X132,0.00043977978037
220X170,0.000440536626957
330X1003,0.000440677416667
360X679,0.000440721849412
220X171,0.000441203995897
312X82,0.00044297389125
520X81,0.000443469375714
210X112,0.000444386842897
520X410,0.0004459728205
360X1165,0.000446538
210X86,0.000447259147208
312X744,0.000448061641724
420X197,0.000448814409595
400X118,0.000449351402778
330X111,0.000453447317534
312X720,0.00045345953193
312X261,0.000453601277778
330X560,0.000454139199524
330X368,0.000454270413636
220X174,0.000454829050385
360X751,0.000455438147143
750X389,0.00045558
750X1050,0.0004563876225
330X884,0.000457425
210X107,0.000458380794393
312X698,0.000459306133684
520X313,0.0004595057225
310X117,0.000461454626429
400X76,0.000462320117
330X950,0.000463495542222
330X520,0.000464571857778
312X335,0.000465710128889
400X21,0.000467359986094
330X1278,0.0004678145
210X142,0.000468751329065
312X277,0.000469327471429
440AX117,0.000469432318857
440AX48,0.000470116174483
400X213,0.000470121086452
312X770,0.0004706538425
330X388,0.000470705937333
750X557,0.00047093197375
210X147,0.000471110816353
750X247,0.000471112
312X489,0.0004712063628
344X160,0.000471392135673
220X216,0.000473666012379
312X189,0.000476723518889
